DEPT [M],AC [US/F],CALI [IN],DEN [G/CC],GR [GAPI],NEU [%],RDEP [OHMM],RMED [OHMM]
1231.7456,nan,nan,nan,133.9292,nan,nan,nan
1231.898,nan,nan,nan,132.4279,nan,nan,nan
1232.0504,nan,nan,nan,135.1541,nan,nan,nan
1232.2028,nan,nan,nan,137.0017,nan,nan,nan
1232.3552,nan,nan,nan,137.8049,nan,nan,nan
1232.5076,nan,nan,nan,138.237,nan,nan,nan
1232.66,nan,nan,nan,138.237,nan,nan,nan
1232.8124,nan,nan,nan,138.237,nan,nan,nan
1232.9648,nan,nan,nan,138.244,nan,nan,nan
1233.1172,nan,nan,nan,138.5493,nan,nan,nan
1233.2696,nan,nan,nan,139.1954,nan,nan,nan
1233.422,nan,nan,nan,139.8404,nan,nan,nan
1233.5744,nan,nan,nan,140.4751,nan,nan,nan
1233.7268,nan,nan,nan,140.618,nan,nan,nan
1233.8792,nan,nan,nan,140.2136,nan,nan,nan
1234.0316,nan,nan,nan,139.8092,nan,nan,nan
1234.184,nan,nan,nan,139.4049,nan,nan,nan
1234.3364,nan,nan,nan,139.0005,nan,nan,nan
1234.4888,nan,nan,nan,138.5961,nan,nan,nan
1234.6412,nan,nan,nan,138.1917,nan,nan,nan
1234.7936,nan,nan,nan,137.7874,nan,nan,nan
1234.946,nan,nan,nan,137.383,nan,nan,nan
1235.0984,nan,nan,nan,136.9786,nan,nan,nan
1235.2508,nan,nan,nan,136.5739,nan,nan,nan
1235.4032,nan,nan,nan,136.1698,nan,nan,nan
1235.5556,nan,nan,nan,135.7651,nan,nan,nan
1235.708,nan,nan,nan,135.3611,nan,nan,nan
1235.8604,nan,nan,nan,134.9567,nan,nan,nan
1236.0128,nan,nan,nan,134.552,nan,nan,nan
1236.1652,nan,nan,nan,134.148,nan,nan,nan
1236.3176,nan,nan,nan,133.7433,nan,nan,nan
1236.47,nan,nan,nan,133.3392,nan,nan,nan
1236.6224,nan,nan,nan,132.9345,nan,nan,nan
1236.7748,nan,nan,nan,132.5305,nan,nan,nan
1236.9272,nan,nan,nan,132.1258,nan,nan,nan
1237.0796,nan,nan,nan,131.7214,nan,nan,nan
1237.232,nan,nan,nan,131.3083,nan,nan,nan
1237.3844,nan,nan,nan,130.5072,nan,nan,nan
1237.5368,nan,nan,nan,129.3245,nan,nan,nan
1237.6892,nan,nan,nan,128.1399,nan,nan,nan
1237.8416,nan,nan,nan,126.9563,nan,nan,nan
1237.994,nan,nan,nan,125.7726,nan,nan,nan
1238.1464,nan,nan,nan,124.6354,nan,nan,nan
1238.2988,nan,nan,nan,125.4808,nan,nan,nan
1238.4512,nan,nan,nan,128.2299,nan,nan,nan
1238.6036,nan,nan,nan,130.9791,nan,nan,nan
1238.756,nan,nan,nan,133.675,nan,nan,nan
1238.9084,nan,nan,nan,134.094,nan,nan,nan
1239.0608,nan,nan,nan,132.3689,nan,nan,nan
1239.2132,nan,nan,nan,130.6437,nan,nan,nan
1239.3656,nan,nan,nan,128.9172,nan,nan,nan
1239.518,nan,nan,nan,127.1935,nan,nan,nan
1239.6704,nan,nan,nan,125.5054,nan,nan,nan
1239.8228,nan,nan,nan,125.4596,nan,nan,nan
1239.9752,nan,nan,nan,126.9133,nan,nan,nan
1240.1276,nan,nan,nan,128.3659,nan,nan,nan
1240.28,nan,nan,nan,129.8106,nan,nan,nan
1240.4324,nan,nan,nan,130.9747,nan,nan,nan
1240.5848,nan,nan,nan,131.8839,nan,nan,nan
1240.7372,nan,nan,nan,132.7945,nan,nan,nan
1240.8896,nan,nan,nan,133.7036,nan,nan,nan
1241.042,nan,nan,nan,134.6143,nan,nan,nan
1241.1944,nan,nan,nan,135.5241,nan,nan,nan
1241.3468,nan,nan,nan,136.434,nan,nan,nan
1241.4992,nan,nan,nan,137.3439,nan,nan,nan
1241.6516,nan,nan,nan,138.2531,nan,nan,nan
1241.804,nan,nan,nan,139.1637,nan,nan,nan
1241.9564,nan,nan,nan,140.0735,nan,nan,nan
1242.1088,nan,nan,nan,140.9834,nan,nan,nan
1242.2612,nan,nan,nan,141.8933,nan,nan,nan
1242.4136,nan,nan,nan,142.8032,nan,nan,nan
1242.566,nan,nan,nan,143.7131,nan,nan,nan
1242.7184,nan,nan,nan,144.5947,nan,nan,nan
1242.8708,nan,nan,nan,144.2402,nan,nan,nan
1243.0232,nan,nan,nan,142.8654,nan,nan,nan
1243.1756,nan,nan,nan,141.4908,nan,nan,nan
1243.328,nan,nan,nan,140.1325,nan,nan,nan
1243.4804,nan,nan,nan,139.4757,nan,nan,nan
1243.6328,nan,nan,nan,139.3877,nan,nan,nan
1243.7852,nan,nan,nan,139.2997,nan,nan,nan
1243.9376,nan,nan,nan,139.2117,nan,nan,nan
1244.09,nan,nan,nan,139.1236,nan,nan,nan
1244.2424,nan,nan,nan,139.0356,nan,nan,nan
1244.3948,nan,nan,nan,138.9477,nan,nan,nan
1244.5472,nan,nan,nan,138.8596,nan,nan,nan
1244.6996,nan,nan,nan,138.7716,nan,nan,nan
1244.852,nan,nan,nan,138.6835,nan,nan,nan
1245.0044,nan,nan,nan,138.5956,nan,nan,nan
1245.1568,nan,nan,nan,138.5075,nan,nan,nan
1245.3092,nan,nan,nan,138.4195,nan,nan,nan
1245.4616,nan,nan,nan,138.3315,nan,nan,nan
1245.614,nan,nan,nan,138.2434,nan,nan,nan
1245.7664,nan,nan,nan,138.1555,nan,nan,nan
1245.9188,nan,nan,nan,138.0674,nan,nan,nan
1246.0712,nan,nan,nan,137.9794,nan,nan,nan
1246.2236,nan,nan,nan,137.8913,nan,nan,nan
1246.376,nan,nan,nan,137.8033,nan,nan,nan
1246.5284,nan,nan,nan,137.7153,nan,nan,nan
1246.6808,nan,nan,nan,137.6982,nan,nan,nan
1246.8332,nan,nan,nan,140.6959,nan,nan,nan
1246.9856,nan,nan,nan,145.7847,nan,nan,nan
1247.138,nan,nan,nan,147.371,nan,nan,nan
1247.2904,nan,nan,nan,146.4416,nan,nan,nan
1247.4428,nan,nan,nan,145.5122,nan,nan,nan
1247.5952,nan,nan,nan,144.5821,nan,nan,nan
1247.7476,nan,nan,nan,143.6534,nan,nan,nan
1247.9,nan,nan,nan,142.7233,nan,nan,nan
1248.0524,nan,nan,nan,141.7946,nan,nan,nan
1248.2048,nan,nan,nan,140.8644,nan,nan,nan
1248.3572,nan,nan,nan,139.9358,nan,nan,nan
1248.5096,nan,nan,nan,139.0063,nan,nan,nan
1248.662,nan,nan,nan,138.0762,nan,nan,nan
1248.8144,nan,nan,nan,137.1476,nan,nan,nan
1248.9668,nan,nan,nan,136.2174,nan,nan,nan
1249.1192,nan,nan,nan,135.2888,nan,nan,nan
1249.2716,nan,nan,nan,134.3586,nan,nan,nan
1249.424,nan,nan,nan,133.4422,nan,nan,nan
1249.5764,nan,nan,nan,133.078,nan,nan,nan
1249.7288,nan,nan,nan,133.078,nan,nan,nan
1249.8812,nan,nan,nan,133.078,nan,nan,nan
1250.0336,nan,nan,nan,133.078,nan,nan,nan
1250.186,nan,nan,nan,133.078,nan,nan,nan
1250.3384,nan,nan,nan,133.0627,nan,nan,nan
1250.4908,nan,nan,nan,132.3985,nan,nan,nan
1250.6432,nan,nan,nan,131.3191,nan,nan,nan
1250.7956,nan,nan,nan,130.2398,nan,nan,nan
1250.948,nan,nan,nan,129.1596,nan,nan,nan
1251.1004,nan,nan,nan,128.0811,nan,nan,nan
1251.2528,nan,nan,nan,127.0106,nan,nan,nan
1251.4052,nan,nan,nan,126.353,nan,nan,nan
1251.5576,nan,nan,nan,125.9494,nan,nan,nan
1251.71,nan,nan,nan,125.5459,nan,nan,nan
1251.8624,nan,nan,nan,125.1424,nan,nan,nan
1252.0148,nan,nan,nan,124.7386,nan,nan,nan
1252.1672,nan,nan,nan,124.3354,nan,nan,nan
1252.3196,nan,nan,nan,123.9316,nan,nan,nan
1252.472,nan,nan,nan,123.5461,nan,nan,nan
1252.6244,nan,nan,nan,123.9088,nan,nan,nan
1252.7768,nan,nan,nan,124.7158,nan,nan,nan
1252.9292,nan,nan,nan,125.5221,nan,nan,nan
1253.0816,nan,nan,nan,126.3798,nan,nan,nan
1253.234,nan,nan,nan,129.3526,nan,nan,nan
1253.3864,nan,nan,nan,133.4695,nan,nan,nan
1253.5388,nan,nan,nan,133.6346,nan,nan,nan
1253.6912,nan,nan,nan,131.54,nan,nan,nan
1253.8436,nan,nan,nan,129.8264,nan,nan,nan
1253.996,nan,nan,nan,128.3296,nan,nan,nan
1254.1484,nan,nan,nan,126.8327,nan,nan,nan
1254.3008,nan,nan,nan,125.3359,nan,nan,nan
1254.4532,nan,nan,nan,123.839,nan,nan,nan
1254.6056,nan,nan,nan,122.3421,nan,nan,nan
1254.758,nan,nan,nan,120.8453,nan,nan,nan
1254.9104,nan,nan,nan,119.4295,nan,nan,nan
1255.0628,nan,nan,nan,121.4445,nan,nan,nan
1255.2152,nan,nan,nan,125.2284,nan,nan,nan
1255.3676,nan,nan,nan,124.7652,nan,nan,nan
1255.52,nan,nan,nan,122.0523,nan,nan,nan
1255.6724,nan,nan,nan,120.789,nan,nan,nan
1255.8248,nan,nan,nan,120.2778,nan,nan,nan
1255.9772,nan,nan,nan,118.8316,nan,nan,nan
1256.1296,nan,nan,nan,116.8907,nan,nan,nan
1256.282,nan,nan,nan,114.9528,nan,nan,nan
1256.4344,nan,nan,nan,113.0118,nan,nan,nan
1256.5868,nan,nan,nan,111.074,nan,nan,nan
1256.7392,nan,nan,nan,109.133,nan,nan,nan
1256.8916,nan,nan,nan,107.1936,nan,nan,nan
1257.044,nan,nan,nan,105.2958,nan,nan,nan
1257.1964,nan,nan,nan,105.0878,nan,nan,nan
1257.3488,nan,nan,nan,105.7328,nan,nan,nan
1257.5012,nan,nan,nan,106.3789,nan,nan,nan
1257.6536,nan,nan,nan,107.0204,nan,nan,nan
1257.806,nan,nan,nan,107.4931,nan,nan,nan
1257.9584,nan,nan,nan,107.8826,nan,nan,nan
1258.1108,nan,nan,nan,108.272,nan,nan,nan
1258.2632,nan,nan,nan,108.6615,nan,nan,nan
1258.4156,nan,nan,nan,109.051,nan,nan,nan
1258.568,nan,nan,nan,109.4405,nan,nan,nan
1258.7204,nan,nan,nan,109.83,nan,nan,nan
1258.8728,nan,nan,nan,110.2195,nan,nan,nan
1259.0252,nan,nan,nan,110.6089,nan,nan,nan
1259.1776,nan,nan,nan,110.951,nan,nan,nan
1259.33,nan,nan,nan,109.2902,nan,nan,nan
1259.4824,nan,nan,nan,106.7675,nan,nan,nan
1259.6348,nan,nan,nan,107.3084,nan,nan,nan
1259.7872,nan,nan,nan,109.1986,nan,nan,nan
1259.9396,nan,nan,nan,108.6734,nan,nan,nan
1260.092,nan,nan,nan,107.0727,nan,nan,nan
1260.2444,nan,nan,nan,106.4769,nan,nan,nan
1260.3968,nan,nan,nan,106.3336,nan,nan,nan
1260.5492,nan,nan,nan,106.19,nan,nan,nan
1260.7016,nan,nan,nan,106.0467,nan,nan,nan
1260.854,nan,nan,nan,105.9031,nan,nan,nan
1261.0064,nan,nan,nan,105.7596,nan,nan,nan
1261.1588,nan,nan,nan,105.6163,nan,nan,nan
1261.3112,nan,nan,nan,105.4727,nan,nan,nan
1261.4636,nan,nan,nan,105.3294,nan,nan,nan
1261.616,nan,nan,nan,105.1858,nan,nan,nan
1261.7684,nan,nan,nan,105.0424,nan,nan,nan
1261.9208,nan,nan,nan,104.8989,nan,nan,nan
1262.0732,nan,nan,nan,104.7554,nan,nan,nan
1262.2256,nan,nan,nan,104.612,nan,nan,nan
1262.378,nan,nan,nan,104.4685,nan,nan,nan
1262.5304,nan,nan,nan,104.3252,nan,nan,nan
1262.6828,nan,nan,nan,104.1816,nan,nan,nan
1262.8352,nan,nan,nan,104.0441,nan,nan,nan
1262.9876,nan,nan,nan,104.158,nan,nan,nan
1263.14,nan,nan,nan,104.3732,nan,nan,nan
1263.2924,nan,nan,nan,104.5885,nan,nan,nan
1263.4448,nan,nan,nan,104.8038,nan,nan,nan
1263.5972,nan,nan,nan,105.0192,nan,nan,nan
1263.7496,nan,nan,nan,105.2307,nan,nan,nan
1263.902,nan,nan,nan,nan,nan,nan,nan
1264.0544,nan,nan,nan,nan,nan,nan,nan
1264.2068,nan,nan,nan,nan,nan,nan,nan
1264.3592,nan,nan,nan,nan,nan,nan,nan
1264.5116,nan,nan,nan,nan,nan,nan,nan
1264.664,nan,nan,nan,nan,nan,nan,nan
1264.8164,nan,nan,nan,nan,nan,nan,nan
1264.9688,nan,nan,nan,nan,nan,nan,nan
1265.1212,nan,nan,nan,nan,nan,nan,nan
1265.2736,nan,nan,nan,nan,nan,nan,nan
1265.426,nan,nan,nan,nan,nan,nan,nan
1265.5784,nan,nan,nan,nan,nan,nan,nan
1265.7308,nan,nan,nan,nan,nan,nan,nan
1265.8832,nan,nan,nan,nan,nan,nan,nan
1266.0356,nan,nan,nan,nan,nan,nan,nan
1266.188,nan,nan,nan,nan,nan,nan,nan
1266.3404,nan,nan,nan,nan,nan,nan,nan
1266.4928,nan,nan,nan,nan,nan,nan,nan
1266.6452,nan,nan,nan,nan,nan,nan,nan
1266.7976,nan,nan,nan,nan,nan,nan,nan
1266.95,nan,nan,nan,nan,nan,nan,nan
1267.1024,nan,nan,nan,nan,nan,nan,nan
1267.2548,nan,nan,nan,nan,nan,nan,nan
1267.4072,nan,nan,nan,nan,nan,nan,nan
1267.5596,nan,nan,nan,nan,nan,nan,nan
1267.712,nan,nan,nan,nan,nan,nan,nan
1267.8644,nan,nan,nan,nan,nan,nan,nan
1268.0168,nan,nan,nan,nan,nan,nan,nan
1268.1692,nan,nan,nan,nan,nan,nan,nan
1268.3216,nan,nan,nan,nan,nan,nan,nan
1268.474,nan,nan,nan,nan,nan,nan,nan
1268.6264,nan,nan,nan,nan,nan,nan,nan
1268.7788,nan,nan,nan,nan,nan,nan,nan
1268.9312,nan,nan,nan,nan,nan,nan,nan
1269.0836,nan,nan,nan,nan,nan,nan,nan
1269.236,nan,nan,nan,nan,nan,nan,nan
1269.3884,nan,nan,nan,nan,nan,nan,nan
1269.5408,nan,nan,nan,nan,nan,nan,nan
1269.6932,nan,nan,nan,nan,nan,nan,nan
1269.8456,nan,nan,nan,nan,nan,nan,nan
1269.998,nan,nan,nan,nan,nan,nan,nan
1270.1504,nan,nan,nan,nan,nan,nan,nan
1270.3028,nan,nan,nan,nan,nan,nan,nan
1270.4552,nan,nan,nan,nan,nan,nan,nan
1270.6076,nan,nan,nan,nan,nan,nan,nan
1270.76,nan,nan,nan,nan,nan,nan,nan
1270.9124,nan,nan,nan,nan,nan,nan,nan
1271.0648,nan,nan,nan,nan,nan,nan,nan
1271.2172,nan,nan,nan,nan,nan,nan,nan
1271.3696,nan,nan,nan,nan,nan,nan,nan
1271.522,nan,nan,nan,nan,nan,nan,nan
1271.6744,nan,nan,nan,nan,nan,nan,nan
1271.8268,nan,nan,nan,nan,nan,nan,nan
1271.9792,nan,nan,nan,nan,nan,nan,nan
1272.1316,nan,nan,nan,nan,nan,nan,nan
1272.284,nan,nan,nan,nan,nan,nan,nan
1272.4364,nan,nan,nan,nan,nan,nan,nan
1272.5888,nan,nan,nan,nan,nan,nan,nan
1272.7412,nan,nan,nan,nan,nan,nan,nan
1272.8936,nan,nan,nan,nan,nan,nan,nan
1273.046,nan,nan,nan,nan,nan,nan,nan
1273.1984,nan,nan,nan,nan,nan,nan,nan
1273.3508,nan,nan,nan,nan,nan,nan,nan
1273.5032,nan,nan,nan,nan,nan,nan,nan
1273.6556,nan,nan,nan,nan,nan,nan,nan
1273.808,nan,nan,nan,nan,nan,nan,nan
1273.9604,nan,nan,nan,nan,nan,nan,nan
1274.1128,nan,nan,nan,nan,nan,nan,nan
1274.2652,nan,nan,nan,nan,nan,nan,nan
1274.4176,nan,nan,nan,nan,nan,nan,nan
1274.57,nan,nan,nan,nan,nan,nan,nan
1274.7224,nan,nan,nan,nan,nan,nan,nan
1274.8748,nan,nan,nan,nan,nan,nan,nan
1275.0272,nan,nan,nan,nan,nan,nan,nan
1275.1796,nan,nan,nan,nan,nan,nan,nan
1275.332,nan,nan,nan,nan,nan,nan,nan
1275.4844,nan,nan,nan,nan,nan,nan,nan
1275.6368,nan,nan,nan,nan,nan,nan,nan
1275.7892,nan,nan,nan,nan,nan,nan,nan
1275.9416,nan,nan,nan,nan,nan,nan,nan
1276.094,nan,nan,nan,nan,nan,nan,nan
1276.2464,nan,nan,nan,nan,nan,nan,nan
1276.3988,nan,nan,nan,nan,nan,nan,nan
1276.5512,nan,nan,nan,nan,nan,nan,nan
1276.7036,nan,nan,nan,nan,nan,nan,nan
1276.856,nan,nan,nan,nan,nan,nan,nan
1277.0084,nan,nan,nan,nan,nan,nan,nan
1277.1608,nan,nan,nan,nan,nan,nan,nan
1277.3132,nan,nan,nan,nan,nan,nan,nan
1277.4656,nan,nan,nan,nan,nan,nan,nan
1277.618,nan,nan,nan,nan,nan,nan,nan
1277.7704,nan,nan,nan,nan,nan,nan,nan
1277.9228,nan,nan,nan,nan,nan,nan,nan
1278.0752,nan,nan,nan,nan,nan,nan,nan
1278.2276,nan,nan,nan,nan,nan,nan,nan
1278.38,nan,nan,nan,nan,nan,nan,nan
1278.5324,nan,nan,nan,nan,nan,nan,nan
1278.6848,nan,nan,nan,nan,nan,nan,nan
1278.8372,nan,nan,nan,nan,nan,nan,nan
1278.9896,nan,nan,nan,nan,nan,nan,nan
1279.142,nan,nan,nan,nan,nan,nan,nan
1279.2944,nan,nan,nan,nan,nan,nan,nan
1279.4468,nan,nan,nan,nan,nan,nan,nan
1279.5992,nan,nan,nan,nan,nan,nan,nan
1279.7516,nan,nan,nan,nan,nan,nan,nan
1279.904,nan,nan,nan,nan,nan,nan,nan
1280.0564,nan,nan,nan,nan,nan,nan,nan
1280.2088,nan,nan,nan,nan,nan,nan,nan
1280.3612,nan,nan,nan,nan,nan,nan,nan
1280.5136,nan,nan,nan,nan,nan,nan,nan
1280.666,nan,nan,nan,nan,nan,nan,nan
1280.8184,nan,nan,nan,nan,nan,nan,nan
1280.9708,nan,nan,nan,nan,nan,nan,nan
1281.1232,nan,nan,nan,nan,nan,nan,nan
1281.2756,nan,nan,nan,nan,nan,nan,nan
1281.428,nan,nan,nan,nan,nan,nan,nan
1281.5804,nan,nan,nan,nan,nan,nan,nan
1281.7328,nan,nan,nan,nan,nan,nan,nan
1281.8852,nan,nan,nan,nan,nan,nan,nan
1282.0376,nan,nan,nan,nan,nan,nan,nan
1282.19,nan,nan,nan,nan,nan,nan,nan
1282.3424,nan,nan,nan,nan,nan,nan,nan
1282.4948,nan,nan,nan,nan,nan,nan,nan
1282.6472,nan,nan,nan,nan,nan,nan,nan
1282.7996,nan,nan,nan,nan,nan,nan,nan
1282.952,nan,nan,nan,nan,nan,nan,nan
1283.1044,nan,nan,nan,nan,nan,nan,nan
1283.2568,nan,nan,nan,nan,nan,nan,nan
1283.4092,nan,nan,nan,nan,nan,nan,nan
1283.5616,nan,nan,nan,nan,nan,nan,nan
1283.714,nan,nan,nan,nan,nan,nan,nan
1283.8664,nan,nan,nan,nan,nan,nan,nan
1284.0188,nan,nan,nan,nan,nan,nan,nan
1284.1712,nan,nan,nan,nan,nan,nan,nan
1284.3236,nan,nan,nan,nan,nan,nan,nan
1284.476,nan,nan,nan,nan,nan,nan,nan
1284.6284,nan,nan,nan,nan,nan,nan,nan
1284.7808,nan,nan,nan,nan,nan,nan,nan
1284.9332,nan,nan,nan,nan,nan,nan,nan
1285.0856,nan,nan,nan,nan,nan,nan,nan
1285.238,nan,nan,nan,nan,nan,nan,nan
1285.3904,nan,nan,nan,nan,nan,nan,nan
1285.5428,nan,nan,nan,nan,nan,nan,nan
1285.6952,nan,nan,nan,nan,nan,nan,nan
1285.8476,nan,nan,nan,nan,nan,nan,nan
1286.0,nan,nan,nan,nan,nan,nan,nan
1286.1524,nan,nan,nan,nan,nan,nan,nan
1286.3048,nan,nan,nan,nan,nan,nan,nan
1286.4572,nan,nan,nan,nan,nan,nan,nan
1286.6096,nan,nan,nan,nan,nan,nan,nan
1286.762,nan,nan,nan,nan,nan,nan,nan
1286.9144,nan,nan,nan,nan,nan,nan,nan
1287.0668,nan,nan,nan,108.8853,nan,nan,nan
1287.2192,nan,nan,nan,105.8619,nan,nan,nan
1287.3716,nan,nan,nan,104.8606,nan,nan,nan
1287.524,nan,nan,nan,103.9509,nan,nan,nan
1287.6764,nan,nan,nan,98.9875,nan,nan,nan
1287.8288,nan,nan,nan,93.6653,nan,nan,nan
1287.9812,nan,nan,nan,88.9236,nan,nan,nan
1288.1336,nan,nan,nan,84.3251,nan,nan,nan
1288.286,nan,nan,nan,83.7956,nan,nan,nan
1288.4384,nan,nan,nan,83.6111,nan,nan,nan
1288.5908,nan,nan,nan,83.4264,nan,nan,nan
1288.7432,nan,nan,nan,83.2421,nan,nan,nan
1288.8956,nan,nan,nan,83.0574,nan,nan,nan
1289.048,nan,nan,nan,82.873,nan,nan,nan
1289.2004,nan,nan,nan,82.6884,nan,nan,nan
1289.3528,nan,nan,nan,82.5039,nan,nan,nan
1289.5052,nan,nan,nan,82.3195,nan,nan,nan
1289.6576,nan,nan,nan,82.1348,nan,nan,nan
1289.81,nan,nan,nan,81.9505,nan,nan,nan
1289.9624,nan,nan,nan,81.7658,nan,nan,nan
1290.1148,nan,nan,nan,81.5813,nan,nan,nan
1290.2672,nan,nan,nan,81.3225,nan,nan,nan
1290.4196,nan,nan,nan,77.9597,nan,nan,nan
1290.572,nan,nan,nan,74.5274,nan,nan,nan
1290.7244,nan,nan,nan,76.4692,nan,nan,nan
1290.8768,nan,nan,nan,78.8555,nan,nan,nan
1291.0292,nan,nan,nan,86.1108,nan,nan,nan
1291.1816,nan,nan,nan,93.8102,nan,nan,nan
1291.334,nan,nan,nan,108.2145,nan,nan,nan
1291.4864,nan,nan,nan,122.5881,nan,nan,nan
1291.6388,nan,nan,nan,120.1301,nan,nan,nan
1291.7912,nan,nan,nan,116.7902,nan,nan,nan
1291.9436,nan,nan,nan,113.445,nan,nan,nan
1292.096,nan,nan,nan,110.1051,nan,nan,nan
1292.2484,nan,nan,nan,106.7625,nan,nan,nan
1292.4008,nan,nan,nan,103.4199,nan,nan,nan
1292.5532,nan,nan,nan,100.0774,nan,nan,nan
1292.7056,nan,nan,nan,96.7321,nan,nan,nan
1292.858,nan,nan,nan,93.3922,nan,nan,nan
1293.0104,nan,nan,nan,90.047,nan,nan,nan
1293.1628,nan,nan,nan,86.7071,nan,nan,nan
1293.3152,nan,nan,nan,83.4301,nan,nan,nan
1293.4676,nan,nan,nan,83.0056,nan,nan,nan
1293.62,nan,nan,nan,82.7075,nan,nan,nan
1293.7724,nan,nan,nan,83.4335,nan,nan,nan
1293.9248,nan,nan,nan,84.2611,nan,nan,nan
1294.0772,nan,nan,nan,87.9449,nan,nan,nan
1294.2296,nan,nan,nan,91.6712,nan,nan,nan
1294.382,nan,nan,nan,93.5852,nan,nan,nan
1294.5344,nan,nan,nan,95.3786,nan,nan,nan
1294.6868,nan,nan,nan,94.2343,nan,nan,nan
1294.8392,nan,nan,nan,93.1331,nan,nan,nan
1294.9916,nan,nan,nan,96.9073,nan,nan,nan
1295.144,nan,nan,nan,100.7651,nan,nan,nan
1295.2964,nan,nan,nan,103.5356,nan,nan,nan
1295.4488,nan,nan,nan,106.2448,nan,nan,nan
1295.6012,nan,nan,nan,107.2943,nan,nan,nan
1295.7536,nan,nan,nan,108.0945,nan,nan,nan
1295.906,nan,nan,nan,99.6916,nan,nan,nan
1296.0584,nan,nan,nan,91.3306,nan,nan,nan
1296.2108,nan,nan,nan,90.6708,nan,nan,nan
1296.3632,nan,nan,nan,90.0928,nan,nan,nan
1296.5156,nan,nan,nan,89.2929,nan,nan,nan
1296.668,nan,nan,nan,88.5546,nan,nan,nan
1296.8204,nan,nan,nan,90.4741,nan,nan,nan
1296.9728,nan,nan,nan,92.3869,nan,nan,nan
1297.1252,nan,nan,nan,93.3602,nan,nan,nan
1297.2776,nan,nan,nan,94.5091,nan,nan,nan
1297.43,nan,nan,nan,103.2365,nan,nan,nan
1297.5824,nan,nan,nan,111.6704,nan,nan,nan
1297.7348,nan,nan,nan,108.1096,nan,nan,nan
1297.8872,nan,nan,nan,104.5793,nan,nan,nan
1298.0396,nan,nan,nan,102.1553,nan,nan,nan
1298.192,nan,nan,nan,99.9079,nan,nan,nan
1298.3444,nan,nan,nan,103.6247,nan,nan,nan
1298.4968,nan,nan,nan,107.1983,nan,nan,nan
1298.6492,nan,nan,nan,106.3967,nan,nan,nan
1298.8016,nan,nan,nan,105.6608,nan,nan,nan
1298.954,nan,nan,nan,106.786,nan,nan,nan
1299.1064,nan,nan,nan,107.9411,nan,nan,nan
1299.2588,nan,nan,nan,109.8857,nan,nan,nan
1299.4112,nan,nan,nan,111.579,nan,nan,nan
1299.5636,nan,nan,nan,107.0514,nan,nan,nan
1299.716,nan,nan,nan,102.7301,nan,nan,nan
1299.8684,nan,nan,nan,103.2102,nan,nan,nan
1300.0208,nan,nan,nan,103.7809,nan,nan,nan
1300.1732,nan,nan,nan,106.3447,nan,nan,nan
1300.3256,nan,nan,nan,108.9043,nan,nan,nan
1300.478,nan,nan,nan,111.4635,nan,nan,nan
1300.6304,nan,nan,nan,113.6559,nan,nan,nan
1300.7828,nan,nan,nan,108.7013,nan,nan,nan
1300.9352,nan,nan,nan,103.9149,nan,nan,nan
1301.0876,nan,nan,nan,102.31,nan,nan,nan
1301.24,nan,nan,nan,101.3114,nan,nan,nan
1301.3924,nan,nan,nan,110.9866,nan,nan,nan
1301.5448,nan,nan,nan,119.8146,nan,nan,nan
1301.6972,nan,nan,nan,114.1647,nan,nan,nan
1301.8496,nan,nan,nan,108.836,nan,nan,nan
1302.002,nan,nan,nan,108.6671,nan,nan,nan
1302.1544,nan,nan,nan,108.3207,nan,nan,nan
1302.3068,nan,nan,nan,105.2005,nan,nan,nan
1302.4592,nan,nan,nan,102.4986,nan,nan,nan
1302.6116,nan,nan,nan,105.9408,nan,nan,nan
1302.764,nan,nan,nan,109.1143,nan,nan,nan
1302.9164,nan,nan,nan,108.4676,nan,nan,nan
1303.0688,nan,nan,nan,107.7273,nan,nan,nan
1303.2212,nan,nan,nan,105.707,nan,nan,nan
1303.3736,nan,nan,nan,103.6868,nan,nan,nan
1303.526,nan,nan,nan,101.6702,nan,nan,nan
1303.6784,nan,nan,nan,99.8833,nan,nan,nan
1303.8308,nan,nan,nan,101.0189,nan,nan,nan
1303.9832,nan,nan,nan,102.1662,nan,nan,nan
1304.1356,nan,nan,nan,103.4552,nan,nan,nan
1304.288,nan,nan,nan,104.6189,nan,nan,nan
1304.4404,nan,nan,nan,104.2959,nan,nan,nan
1304.5928,nan,nan,nan,103.9548,nan,nan,nan
1304.7452,nan,nan,nan,103.416,nan,nan,nan
1304.8976,nan,nan,nan,103.019,nan,nan,nan
1305.05,nan,nan,nan,104.2061,nan,nan,nan
1305.2024,nan,nan,nan,105.3182,nan,nan,nan
1305.3548,nan,nan,nan,105.6564,nan,nan,nan
1305.5072,nan,nan,nan,106.866,nan,nan,nan
1305.6596,nan,nan,nan,117.2097,nan,nan,nan
1305.812,nan,nan,nan,126.6829,nan,nan,nan
1305.9644,nan,nan,nan,127.4424,nan,nan,nan
1306.1168,nan,nan,nan,127.0106,nan,nan,nan
1306.2692,nan,nan,nan,114.9393,nan,nan,nan
1306.4216,nan,nan,nan,103.9048,nan,nan,nan
1306.574,nan,nan,nan,102.9443,nan,nan,nan
1306.7264,nan,nan,nan,102.3646,nan,nan,nan
1306.8788,nan,nan,nan,105.327,nan,nan,nan
1307.0312,nan,nan,nan,108.2894,nan,nan,nan
