CurveName                     TVDBTDD          TVD              TVDSS            TwoWayTime       
TIME-CKS                       2861.90          2886.90          -2861.90         2560.3999          
TIME-CKS                       2875.10          2900.10          -2875.10         2567.8000          
TIME-CKS                       2888.30          2913.30          -2888.30         2576.0000          
TIME-CKS                       2901.50          2926.50          -2901.50         2584.6001          
TIME-CKS                       2914.70          2939.70          -2914.70         2593.6001          
TIME-CKS                       2927.90          2952.90          -2927.90         2603.2000          
TIME-CKS                       2941.10          2966.10          -2941.10         2613.8000          
TIME-CKS                       2954.40          2979.40          -2954.40         2624.0000          
TIME-CKS                       2967.80          2992.80          -2967.80         2633.8000          
TIME-CKS                       2981.30          3006.30          -2981.30         2643.0000          
TIME-CKS                       2994.70          3019.70          -2994.70         2652.2000          
TIME-CKS                       3008.20          3033.20          -3008.20         2661.6001          
TIME-CKS                       3021.60          3046.60          -3021.60         2670.6001          
TIME-CKS                       3035.10          3060.10          -3035.10         2679.6001          
TIME-CKS                       3048.50          3073.50          -3048.50         2688.3999          
TIME-CKS                       3061.90          3086.90          -3061.90         2696.6001          
TIME-CKS                       3075.40          3100.40          -3075.40         2704.3999          
TIME-CKS                       3088.90          3113.90          -3088.90         2711.8000          
TIME-CKS                       3102.40          3127.40          -3102.40         2719.6001          
TIME-CKS                       3115.90          3140.90          -3115.90         2727.2000          
TIME-CKS                       3129.40          3154.40          -3129.40         2734.6001          
TIME-CKS                       3142.90          3167.90          -3142.90         2741.2000          
TIME-CKS                       3156.40          3181.40          -3156.40         2747.8000          
TIME-CKS                       3169.90          3194.90          -3169.90         2754.3999          
TIME-CKS                       3183.40          3208.40          -3183.40         2760.6001          
TIME-CKS                       3196.90          3221.90          -3196.90         2767.0000          
TIME-CKS                       3210.30          3235.30          -3210.30         2773.0000          
TIME-CKS                       3223.30          3248.30          -3223.30         2779.6001          
TIME-CKS                       3236.30          3261.30          -3236.30         2785.3999          
TIME-CKS                       3249.20          3274.20          -3249.20         2792.0000          
TIME-CKS                       3262.20          3287.20          -3262.20         2798.3999          
TIME-CKS                       3275.20          3300.20          -3275.20         2806.0000          
TIME-CKS                       3288.20          3313.20          -3288.20         2812.8000          
TIME-CKS                       3301.00          3326.00          -3301.00         2820.0000          
