Curve_Name                     TVDBTDD          TVD              TVDSS            TwoWayTime       
TIME-CKS                       2146.00          2171.00          -2146.00         2095.6001          
TIME-CKS                       2157.80          2182.80          -2157.80         2105.6001          
TIME-CKS                       2169.60          2194.60          -2169.60         2120.3999          
TIME-CKS                       2181.60          2206.60          -2181.60         2132.3999          
TIME-CKS                       2193.70          2218.70          -2193.70         2142.6001          
TIME-CKS                       2205.80          2230.80          -2205.80         2152.6001          
TIME-CKS                       2217.90          2242.90          -2217.90         2165.0000          
TIME-CKS                       2254.20          2279.20          -2254.20         2192.0000          
TIME-CKS                       2266.40          2291.40          -2266.40         2200.0000          
TIME-CKS                       2278.70          2303.70          -2278.70         2209.3999          
TIME-CKS                       2291.20          2316.20          -2291.20         2219.0000          
TIME-CKS                       2303.60          2328.60          -2303.60         2228.2000          
TIME-CKS                       2316.10          2341.10          -2316.10         2239.6001          
TIME-CKS                       2328.60          2353.60          -2328.60         2250.2000          
TIME-CKS                       2341.20          2366.20          -2341.20         2260.2000          
TIME-CKS                       2353.80          2378.80          -2353.80         2271.8000          
TIME-CKS                       2366.50          2391.50          -2366.50         2283.0000          
TIME-CKS                       2379.10          2404.10          -2379.10         2293.6001          
TIME-CKS                       2391.50          2416.50          -2391.50         2300.8000          
TIME-CKS                       2403.50          2428.50          -2403.50         2307.6001          
TIME-CKS                       2415.00          2440.00          -2415.00         2314.3999          
TIME-CKS                       2426.40          2451.40          -2426.40         2321.3999          
TIME-CKS                       2437.80          2462.80          -2437.80         2328.3999          
TIME-CKS                       2449.30          2474.30          -2449.30         2335.0000          
TIME-CKS                       2460.90          2485.90          -2460.90         2342.8000          
TIME-CKS                       2472.70          2497.70          -2472.70         2351.0000          
TIME-CKS                       2485.10          2510.10          -2485.10         2359.2000          
TIME-CKS                       2497.60          2522.60          -2497.60         2367.3999          
TIME-CKS                       2510.20          2535.20          -2510.20         2374.8000          
TIME-CKS                       2523.10          2548.10          -2523.10         2381.3999          
TIME-CKS                       2536.00          2561.00          -2536.00         2388.8000          
TIME-CKS                       2548.90          2573.90          -2548.90         2395.0000          
TIME-CKS                       2561.80          2586.80          -2561.80         2401.2000          
TIME-CKS                       2574.60          2599.60          -2574.60         2407.3999          
TIME-CKS                       2587.40          2612.40          -2587.40         2412.3999          
TIME-CKS                       2600.20          2625.20          -2600.20         2419.2000          
TIME-CKS                       2613.10          2638.10          -2613.10         2425.8000          
TIME-CKS                       2625.90          2650.90          -2625.90         2432.3999          
TIME-CKS                       2638.90          2663.90          -2638.90         2438.2000          
TIME-CKS                       2652.10          2677.10          -2652.10         2442.6001          
TIME-CKS                       2665.30          2690.30          -2665.30         2447.3999          
TIME-CKS                       2678.70          2703.70          -2678.70         2453.0000          
TIME-CKS                       2692.20          2717.20          -2692.20         2459.0000          
TIME-CKS                       2705.70          2730.70          -2705.70         2465.0000          
TIME-CKS                       2719.50          2744.50          -2719.50         2472.2000          
TIME-CKS                       2733.40          2758.40          -2733.40         2477.8000          
TIME-CKS                       2747.50          2772.50          -2747.50         2483.6001          
TIME-CKS                       2761.90          2786.90          -2761.90         2489.3999          
TIME-CKS                       2776.40          2801.40          -2776.40         2495.2000          
TIME-CKS                       2791.10          2816.10          -2791.10         2503.2000          
TIME-CKS                       2806.00          2831.00          -2806.00         2511.3999          
TIME-CKS                       2821.00          2846.00          -2821.00         2523.2000          
TIME-CKS                       2836.10          2861.10          -2836.10         2535.2000          
TIME-CKS                       2851.40          2876.40          -2851.40         2546.3999          
TIME-CKS                       2866.70          2891.70          -2866.70         2555.0000          
TIME-CKS                       2882.10          2907.10          -2882.10         2564.6001          
TIME-CKS                       2897.50          2922.50          -2897.50         2572.8000          
TIME-CKS                       2912.90          2937.90          -2912.90         2581.0000          
TIME-CKS                       2928.20          2953.20          -2928.20         2589.0000          
TIME-CKS                       2943.50          2968.50          -2943.50         2597.8000          
TIME-CKS                       2958.80          2983.80          -2958.80         2607.8000          
TIME-CKS                       2974.00          2999.00          -2974.00         2615.8000          
TIME-CKS                       2989.10          3014.10          -2989.10         2623.6001          
TIME-CKS                       3004.30          3029.30          -3004.30         2630.2000          
TIME-CKS                       3019.40          3044.40          -3019.40         2637.0000          
TIME-CKS                       3034.50          3059.50          -3034.50         2643.6001          
TIME-CKS                       3049.50          3074.50          -3049.50         2650.2000          
TIME-CKS                       3064.50          3089.50          -3064.50         2657.8000          
