Name	Operator	Licence number	Intent	Purpose	Purpose - planned	Status	Type	Subsea	SPUD date	Completion date	Predrilled entry date	Predrilled completion date	Field	Drill permit	Discovery name	Discovery wellbore	KBE	Final vert. depth (TVD)	Terminal Depth	Water depth	Kick off  point [m RKB]	Location	Facility	Drilling facility type	Drilling facility category	Production facility	Licensing activity awarded in	Multilateral	Content - planned	Entry year	Completed year	Reclassified from/to wellbore	Plot symbol	Geodatum	Latitude	Longitude	Surface Y	Surface X	Quadrant	Block	Publication date	Release date	Code	COUNTRY
15/12-A-9	Pertra AS (OLD)	038 	P&A	INJECTION	INJECTION	WATER	DEVELOPMENT	 NO	31.07.2004	28.10.2004			VARG	2448-P	15/12-4 VARG	NO	52.0	3165.0	3916.0	84.0		NORTH SEA	MÆRSK GIANT	JACK-UP 3 LEGS	MOVEABLE	VARG A	3	NO	WATER	2004	2004		173	ED50  	58.077886	1.890439	6438065.86	434555.75	15	12	43868	43451		NORWAY
15/12-A-9 A	Talisman Energy Norge AS	038 	P&A	PRODUCTION	PRODUCTION	OIL	DEVELOPMENT	 NO	02.08.2006	14.08.2006			VARG	2729-P	15/12-4 VARG	NO	51.5	3061.0	3267.0	84.0	1346.0	NORTH SEA	MÆRSK GIANT	JACK-UP 3 LEGS	MOVEABLE	VARG A	3	NO	OIL	2006	2006		50	ED50  	58.077886	1.890439	6438065.86	434555.75	15	12	43868	43451		NORWAY
15/12-A-9 B	Talisman Energy Norge AS	038 	P&A	PRODUCTION	PRODUCTION	OIL	DEVELOPMENT	 NO	07.12.2009	21.12.2009			VARG	3189-P	15/12-4 VARG	NO	52.2	3081.0	3820.0	84.0	1314.0	NORTH SEA	MÆRSK GUARDIAN	JACK-UP 3 LEGS	MOVEABLE	VARG A	3	NO	OIL	2009	2009		50	ED50  	58.077886	1.890439	6438065.86	434555.75	15	12	43868	43451		NORWAY
15/12-A-10	Pertra AS (OLD)	038 	P&A	PRODUCTION	PRODUCTION	OIL	DEVELOPMENT	 NO	01.06.2004	16.07.2004			VARG	2435-P	15/12-4 VARG	NO	52.0	2992.0	3900.0	84.0		NORTH SEA	MÆRSK GIANT	JACK-UP 3 LEGS	MOVEABLE	VARG A	3	NO	OIL	2004	2004		50	ED50  	58.077892	1.890458	6438066.46	434556.90	15	12	43868	43451		NORWAY
15/12-A-10 A	Talisman Energy Norge AS	038 	P&A	PRODUCTION	PRODUCTION	OIL	DEVELOPMENT	 NO	15.10.2009	01.11.2009			VARG	3163-P	15/12-4 VARG	NO	52.2	3101.0	4136.0	84.0	1347.0	NORTH SEA	MÆRSK GUARDIAN	JACK-UP 3 LEGS	MOVEABLE	VARG A	3	NO	OIL	2009	2009		50	ED50  	58.077892	1.890458	6438066.46	434556.90	15	12	43868	43451		NORWAY
15/12-A-11	Saga Petroleum ASA	038 	P&A	PRODUCTION	PRODUCTION	OIL	DEVELOPMENT	 NO	17.07.1992	08.10.1992			VARG	1505-P	15/12-4 Varg	NO	44.0	2931.0	3565.5	84.0		NORTH SEA	NOBLE AL WHITE	JACK-UP 3 LEGS	MOVEABLE	VARG A	3	NO	OIL	1992	1992	15/12-9 S  	50	      	58.077897	1.890486	6438067.06	434558.55	15	12	43868	43451		NORWAY
15/12-A-12	Saga Petroleum ASA	038 	P&A	INJECTION	INJECTION	GAS	DEVELOPMENT	 NO	14.03.1999	20.09.1999			VARG	1576-P	15/12-4 Varg	NO	44.0	3115.4	3354.0	84.0		NORTH SEA	NOBLE AL WHITE	JACK-UP 3 LEGS	MOVEABLE	VARG A	3	NO	WATER/GAS	1999	1999		91	ED50  	58.077908	1.890511	6438068.27	434560.05	15	12	43868	43451		NORWAY
15/12-A-12 A	Pertra AS (OLD)	038 	P&A	PRODUCTION	PRODUCTION	OIL	DEVELOPMENT	 NO	14.12.2003	31.12.2003			VARG	2378-P	15/12-4 Varg	NO	51.0	3082.0	3305.0	84.0	1357.0	NORTH SEA	MÆRSK GIANT	JACK-UP 3 LEGS	MOVEABLE	VARG A	3	NO	OIL	2003	2003	15/12-14   	50	ED50  	58.077908	1.890511	6438068.27	434560.05	15	12	43868	43451		NORWAY
15/12-A-12 B	Talisman Energy Norge AS	038 	P&A	PRODUCTION	PRODUCTION	OIL	DEVELOPMENT	 NO	12.09.2006	12.10.2006			VARG	2765-P	15/12-4 Varg	NO	52.0	3035.0	3253.0	84.0	2802.0	NORTH SEA	MÆRSK GIANT	JACK-UP 3 LEGS	MOVEABLE	VARG A	3	NO	OIL	2006	2006		50	ED50  	58.077908	1.890511	6438068.27	434560.05	15	12	43868	43451		NORWAY
15/12-A-12 C	Talisman Energy Norge AS	038 	P&A	PRODUCTION	PRODUCTION	DRY	DEVELOPMENT	 NO	23.03.2011	10.04.2011			VARG	3351-P	15/12-4 Varg	NO	52.2	3008.0	4782.0	84.0	1301.0	NORTH SEA	MÆRSK GUARDIAN	JACK-UP 3 LEGS	MOVEABLE	VARG A	3	NO	OIL	2011	2011		81	ED50  	58.077908	1.890511	6438068.27	434560.05	15	12	43868	43451		NORWAY
15/12-A-12 D	Talisman Energy Norge AS	038 	P&A	PRODUCTION	PRODUCTION	DRY	DEVELOPMENT	 NO	14.04.2011	19.04.2011			VARG	3355-P	15/12-4 Varg	NO	52.2	3073.0	3938.0	84.0	3014.0	NORTH SEA	MÆRSK GUARDIAN	JACK-UP 3 LEGS	MOVEABLE	VARG A	3	NO	OIL	2011	2011		81	ED50  	58.077908	1.890511	6438068.27	434560.05	15	12	43868	43451		NORWAY
15/12-A-12 E	Talisman Energy Norge AS	038 	P&A	PRODUCTION	PRODUCTION	OIL	DEVELOPMENT	 NO	04.01.2013	31.01.2013			VARG	3556-P	15/12-4 VARG	NO	31.7	2893.0	3682.0	84.0	1281.0	NORTH SEA	ROWAN STAVANGER	JACK-UP 3 LEGS	MOVEABLE	VARG A	3	NO	OIL	2013	2013		50	ED50  	58.077908	1.890511	6438068.27	434560.05	15	12	43868	43451		NORWAY
15/12-A-13	Saga Petroleum ASA	038 	P&A	PRODUCTION	PRODUCTION	OIL	DEVELOPMENT	 NO	22.06.1999	12.08.1999	06.04.1998	08.04.1998	VARG	1599-P	15/12-4 Varg	NO	44.0	2959.2	4255.0	84.0		NORTH SEA	NOBLE AL WHITE	JACK-UP 3 LEGS	MOVEABLE	VARG A	3	NO	OIL	1999	1999		50	ED50  	58.077917	1.890533	6438069.17	434561.37	15	12	43868	43451		NORWAY
15/12-A-14	Saga Petroleum ASA	038 	P&A	INJECTION	INJECTION	GAS	DEVELOPMENT	 NO	08.05.1998	10.08.1998	09.04.1998	11.04.1998	VARG	1471-P	15/12-4 Varg	NO	44.0	3302.5	4350.0	84.0		NORTH SEA	NOBLE AL WHITE	JACK-UP 3 LEGS	MOVEABLE	VARG A	3	NO	WATER/GAS	1998	1998		91	ED50  	58.077878	1.890475	6438064.90	434557.86	15	12	43868	43451		NORWAY
15/12-A-15	Saga Petroleum ASA	038 	P&A	PRODUCTION	PRODUCTION	NOT AVAILABLE	DEVELOPMENT	 NO	23.05.1998	14.02.1999	28.03.1998	30.03.1998	VARG	1529-P	15/12-4 Varg	NO	44.0	2811.0	4460.0	84.0		NORTH SEA	NOBLE AL WHITE	JACK-UP 3 LEGS	MOVEABLE	VARG A	3	NO	OIL	1998	1999		71	ED50  	58.077883	1.890500	6438065.50	434559.34	15	12	43868	43451		NORWAY
15/12-A-15 A	Pertra AS (OLD)	038 	P&A	PRODUCTION	PRODUCTION	OIL	DEVELOPMENT	 NO	23.01.2003	06.02.2003			VARG	2206-P	15/12-4 Varg	NO	52.0	2848.0	3508.0	84.0	3064.0	NORTH SEA	MÆRSK GALLANT	JACK-UP 3 LEGS	MOVEABLE	VARG A	3	NO	OIL	2003	2003		50	ED50  	58.077883	1.890500	6438065.50	434559.34	15	12	43868	43451		NORWAY
15/12-A-16	Pertra AS (OLD)	038 	P&A	INJECTION	INJECTION	WATER	DEVELOPMENT	 NO	29.03.2005	01.05.2005			VARG	2533-P	15/12-4 VARG	NO	51.5	3223.0	3609.0	84.0		NORTH SEA	MÆRSK GIANT	JACK-UP 3 LEGS	MOVEABLE	VARG A	3	NO	WATER	2005	2005		173	ED50  	58.077894	1.890528	6438066.71	434561.00	15	12	43868	43451		NORWAY
15/12-C-1 H	Talisman Energy Norge AS	038 C	PLUGGED	PRODUCTION	PRODUCTION	GAS	DEVELOPMENT	YES	25.12.2000	09.02.2001			REV	3010-P	15/12-12 Rev	NO	26.0	3056.0	3085.0	87.0		NORTH SEA	SCARABEO 6	SEMISUB STEEL	MOVEABLE	15/12-C Rev	3	NO	GAS	2000	2001	15/12-12   	90	ED50  	58.027967	1.924539	6432475.78	436478.40	15	12	1626017	4467554		NORWAY
15/12-C-1 AH	Talisman Energy Norge AS	038 C	CLOSED	PRODUCTION	PRODUCTION	GAS	DEVELOPMENT	YES	15.07.2012	03.08.2012			REV	3488-P	15/12-12 REV	NO	50.3	2842.0	3041.0	87.0	2198.0	NORTH SEA	ROWAN STAVANGER	JACK-UP 3 LEGS	MOVEABLE	15/12-C Rev	3	NO	GAS	2012	2012		90	ED50  	58.027967	1.924539	6432475.78	436478.40	15	12	1626017	4467554		NORWAY
15/12-C-2 H	Talisman Energy Norge AS	038 C	CLOSED	PRODUCTION	PRODUCTION	GAS	DEVELOPMENT	YES	06.02.2006	31.03.2006			REV	3011-P	15/12-12 Rev	NO	40.0	2897.0	2961.0	87.0		NORTH SEA	MÆRSK GIANT	JACK-UP 3 LEGS	MOVEABLE	15/12-C Rev	3	NO	GAS	2006	2006	15/12-16 S  	90	ED50  	58.027886	1.924436	6432466.91	436472.19	15	12	1626017	4467554		NORWAY
15/12-D-1 H	Talisman Energy Norge AS	038 C	CLOSED	PRODUCTION	PRODUCTION	GAS	DEVELOPMENT	YES	11.10.2008	23.10.2008			REV	3012-P	15/12-12 Rev	NO	42.5	2834.0	3338.0	87.0	3050.0	NORTH SEA	MÆRSK GIANT	JACK-UP 3 LEGS	MOVEABLE	15/12-D Rev	3	NO	GAS	2008	2008	15/12-17 A  	90	ED50  	58.028522	1.923183	6432538.90	436399.33	15	12	1626017	4467554		NORWAY
15/12-E-1 H	BG Norge AS	292 	ONLINE/OPERATIONAL	PRODUCTION	PRODUCTION	OIL	DEVELOPMENT	YES	31.05.2011	30.06.2011			GAUPE	3362-P	15/12-19	NO	18.0	2973.0	4303.0	85.5		NORTH SEA	WEST ALPHA	SEMISUB STEEL	MOVEABLE	15/12-E-1 H Gaupe	NST2002	NO	OIL/GAS	2011	2011		50	ED50  	58.011953	1.925436	6430692.12	436503.03	15	12	4972729	18161341		NORWAY
